Date,error_bull,error_bear,min_error,argmin_regime,gap
2011-04-06,0.0032034058,0.007852818,0.0032034058,bull,0.004649412
2011-04-07,0.0032786094,0.007964697,0.0032786094,bull,0.0046860874
2011-04-08,0.0033075523,0.0077238614,0.0033075523,bull,0.0044163093
2011-04-11,0.0032085849,0.0075550773,0.0032085849,bull,0.0043464927
2011-04-12,0.0031192973,0.0074205496,0.0031192973,bull,0.0043012523
2011-04-13,0.0030647493,0.007268353,0.0030647493,bull,0.0042036036
2011-04-14,0.0030217248,0.0068542385,0.0030217248,bull,0.0038325137
2011-04-15,0.002753464,0.0062098256,0.002753464,bull,0.0034563616
2011-04-18,0.0027152358,0.0056471704,0.0027152358,bull,0.0029319345
2011-04-19,0.0027303388,0.0055416226,0.0027303388,bull,0.0028112838
2011-04-20,0.0027512568,0.005399133,0.0027512568,bull,0.0026478763
2011-04-21,0.0027216112,0.005121376,0.0027216112,bull,0.0023997647
2011-04-25,0.0028447856,0.005204171,0.0028447856,bull,0.0023593854
2011-04-26,0.0028249586,0.005017824,0.0028249586,bull,0.0021928654
2011-04-27,0.0027219036,0.0048489105,0.0027219036,bull,0.0021270069
2011-04-28,0.002638805,0.004700265,0.002638805,bull,0.00206146
2011-04-29,0.0027384365,0.0046909447,0.0027384365,bull,0.0019525082
2011-05-02,0.0027900038,0.004886434,0.0027900038,bull,0.0020964302
2011-05-03,0.0028571489,0.0050428524,0.0028571489,bull,0.0021857035
2011-05-04,0.0028818354,0.005101743,0.0028818354,bull,0.0022199077
2011-05-05,0.0029596938,0.0052192206,0.0029596938,bull,0.0022595269
2011-05-06,0.0028217107,0.0052242186,0.0028217107,bull,0.002402508
2011-05-09,0.0028176925,0.0053689727,0.0028176925,bull,0.0025512802
2011-05-10,0.0027925582,0.0055216253,0.0027925582,bull,0.002729067
2011-05-11,0.0025950482,0.005775245,0.0025950482,bull,0.0031801967
2011-05-12,0.0023050054,0.0058566732,0.0023050054,bull,0.0035516678
2011-05-13,0.002160777,0.006076058,0.002160777,bull,0.003915281
2011-05-16,0.0020600674,0.0063718804,0.0020600674,bull,0.004311813
2011-05-17,0.0020536326,0.0066830963,0.0020536326,bull,0.004629464
2011-05-18,0.0020834228,0.006817186,0.0020834228,bull,0.0047337627
2011-05-19,0.002012704,0.0069593885,0.002012704,bull,0.0049466845
2011-05-20,0.0020310036,0.0072429995,0.0020310036,bull,0.005211996
2011-05-23,0.0020940872,0.0075120763,0.0020940872,bull,0.005417989
2011-05-24,0.0020592294,0.007645944,0.0020592294,bull,0.0055867145
2011-05-25,0.0020231658,0.0076565114,0.0020231658,bull,0.005633346
2011-05-26,0.0020561249,0.0075620566,0.0020561249,bull,0.0055059316
2011-05-27,0.0020290157,0.0076476107,0.0020290157,bull,0.005618595
2011-05-31,0.0020962108,0.007454047,0.0020962108,bull,0.0053578364
2011-06-01,0.002147931,0.0073909457,0.002147931,bull,0.0052430145
2011-06-02,0.002060112,0.0068889703,0.002060112,bull,0.004828858
2011-06-03,0.0020147809,0.0065350337,0.0020147809,bull,0.004520253
2011-06-06,0.0019928808,0.006251563,0.0019928808,bull,0.004258682
2011-06-07,0.0020073585,0.006079307,0.0020073585,bull,0.004071948
2011-06-08,0.0020504473,0.006062103,0.0020504473,bull,0.0040116557
2011-06-09,0.002100066,0.0061603836,0.002100066,bull,0.0040603178
2011-06-10,0.0021838879,0.0062555606,0.0021838879,bull,0.0040716724
2011-06-13,0.002160367,0.0064475657,0.002160367,bull,0.0042871987
2011-06-14,0.0021965953,0.0064278753,0.0021965953,bull,0.0042312797
2011-06-15,0.0020423527,0.006592114,0.0020423527,bull,0.0045497613
2011-06-16,0.0019501591,0.0065877065,0.0019501591,bull,0.0046375473
2011-06-17,0.0019635456,0.006646022,0.0019635456,bull,0.0046824766
2011-06-20,0.002021634,0.0067957942,0.002021634,bull,0.00477416
2011-06-21,0.0020328572,0.006566662,0.0020328572,bull,0.004533805
2011-06-22,0.002054447,0.006445901,0.002054447,bull,0.004391454
2011-06-23,0.0021721302,0.0061568785,0.0021721302,bull,0.0039847484
2011-06-24,0.0021840404,0.005957763,0.0021840404,bull,0.0037737228
2011-06-27,0.0022713398,0.00554227,0.0022713398,bull,0.0032709301
2011-06-28,0.002463834,0.0051857266,0.002463834,bull,0.0027218927
2011-06-29,0.0025464569,0.00492485,0.0025464569,bull,0.0023783932
2011-06-30,0.0026617837,0.004533105,0.0026617837,bull,0.0018713214
2011-07-01,0.002686472,0.0044932235,0.002686472,bull,0.0018067516
2011-07-05,0.0027912164,0.0043502436,0.0027912164,bull,0.0015590272
